Criterion ID,Task ID,Prompt,Specified Prompt,Workflow,Hurdle Tag,Criteria type,Criterion Grounding Check,Description,Shop vs. Product
13029,610,"Giver persona: I am a 3rd-year undergraduate student living in the United Kingdom, studying engineering. I live off campus and share a flat with another student, who is also my friend, and I want to purchase a gift for her because she recently passed one of the hardest math exams.

Recipient persona: My friend is a 21-year-old full-time university student who is active in sports and needs a water bottle for daily use on campus, during commutes to university and home, and at the gym. Her previous bottles had issues: one plastic bottle deformed with hot water; another had a lid that didn’t seal properly, causing leaks/water drips that damaged notebooks. She is also very selective about the bottle material to ensure it is non-toxic. Currently, she doesn’t have a bottle, so she buys bottled water from supermarkets daily, which is inconvenient to carry while commuting. I want to get my friend a gift of a water bottle that would eliminate the issues she faced in the past. 

Prompt: Recommend three concrete options of water bottles that I could get for her within a £50 budget.","Giver persona: I am a 3rd-year undergraduate student living in the United Kingdom, studying engineering. I live off campus and share a flat with another student, who is also my friend, and I want to purchase a gift for her because she recently passed one of the hardest math exams.

Recipient persona: My friend is a 21-year-old full-time university student who is active in sports and needs a water bottle for daily use on campus, during commutes to university and home, and at the gym. Her previous bottles had issues: one plastic bottle deformed with hot water; another had a lid that didn’t seal properly, causing leaks/water drips that damaged notebooks. She is also very selective about the bottle material to ensure it is non-toxic. Currently, she doesn’t have a bottle, so she buys bottled water from supermarkets daily, which is inconvenient to carry while commuting. I want to get my friend a gift of a water bottle that would eliminate the issues she faced in the past. 

Prompt: Recommend three concrete options of water bottles that I could get for her within a £50 budget. Please explicitly state whether each of your product recommendations meets each of the product requirements that I want. Include the source or purchase links, and prices if applicable.",Gifting,Not,Meets quantity requirement,Not Grounded,Recommends three water bottles,Product
13031,610,"Giver persona: I am a 3rd-year undergraduate student living in the United Kingdom, studying engineering. I live off campus and share a flat with another student, who is also my friend, and I want to purchase a gift for her because she recently passed one of the hardest math exams.

Recipient persona: My friend is a 21-year-old full-time university student who is active in sports and needs a water bottle for daily use on campus, during commutes to university and home, and at the gym. Her previous bottles had issues: one plastic bottle deformed with hot water; another had a lid that didn’t seal properly, causing leaks/water drips that damaged notebooks. She is also very selective about the bottle material to ensure it is non-toxic. Currently, she doesn’t have a bottle, so she buys bottled water from supermarkets daily, which is inconvenient to carry while commuting. I want to get my friend a gift of a water bottle that would eliminate the issues she faced in the past. 

Prompt: Recommend three concrete options of water bottles that I could get for her within a £50 budget.","Giver persona: I am a 3rd-year undergraduate student living in the United Kingdom, studying engineering. I live off campus and share a flat with another student, who is also my friend, and I want to purchase a gift for her because she recently passed one of the hardest math exams.

Recipient persona: My friend is a 21-year-old full-time university student who is active in sports and needs a water bottle for daily use on campus, during commutes to university and home, and at the gym. Her previous bottles had issues: one plastic bottle deformed with hot water; another had a lid that didn’t seal properly, causing leaks/water drips that damaged notebooks. She is also very selective about the bottle material to ensure it is non-toxic. Currently, she doesn’t have a bottle, so she buys bottled water from supermarkets daily, which is inconvenient to carry while commuting. I want to get my friend a gift of a water bottle that would eliminate the issues she faced in the past. 

Prompt: Recommend three concrete options of water bottles that I could get for her within a £50 budget. Please explicitly state whether each of your product recommendations meets each of the product requirements that I want. Include the source or purchase links, and prices if applicable.",Gifting,Not,Meets pricing requirements/gives price,Grounded,Recommends only water bottles priced at £50 or less,Product
13054,610,"Giver persona: I am a 3rd-year undergraduate student living in the United Kingdom, studying engineering. I live off campus and share a flat with another student, who is also my friend, and I want to purchase a gift for her because she recently passed one of the hardest math exams.

Recipient persona: My friend is a 21-year-old full-time university student who is active in sports and needs a water bottle for daily use on campus, during commutes to university and home, and at the gym. Her previous bottles had issues: one plastic bottle deformed with hot water; another had a lid that didn’t seal properly, causing leaks/water drips that damaged notebooks. She is also very selective about the bottle material to ensure it is non-toxic. Currently, she doesn’t have a bottle, so she buys bottled water from supermarkets daily, which is inconvenient to carry while commuting. I want to get my friend a gift of a water bottle that would eliminate the issues she faced in the past. 

Prompt: Recommend three concrete options of water bottles that I could get for her within a £50 budget.","Giver persona: I am a 3rd-year undergraduate student living in the United Kingdom, studying engineering. I live off campus and share a flat with another student, who is also my friend, and I want to purchase a gift for her because she recently passed one of the hardest math exams.

Recipient persona: My friend is a 21-year-old full-time university student who is active in sports and needs a water bottle for daily use on campus, during commutes to university and home, and at the gym. Her previous bottles had issues: one plastic bottle deformed with hot water; another had a lid that didn’t seal properly, causing leaks/water drips that damaged notebooks. She is also very selective about the bottle material to ensure it is non-toxic. Currently, she doesn’t have a bottle, so she buys bottled water from supermarkets daily, which is inconvenient to carry while commuting. I want to get my friend a gift of a water bottle that would eliminate the issues she faced in the past. 

Prompt: Recommend three concrete options of water bottles that I could get for her within a £50 budget. Please explicitly state whether each of your product recommendations meets each of the product requirements that I want. Include the source or purchase links, and prices if applicable.",Gifting,Not,Meets product/vendor feature,Grounded,Recommends only water bottles with leak-proof lids,Product
13055,610,"Giver persona: I am a 3rd-year undergraduate student living in the United Kingdom, studying engineering. I live off campus and share a flat with another student, who is also my friend, and I want to purchase a gift for her because she recently passed one of the hardest math exams.

Recipient persona: My friend is a 21-year-old full-time university student who is active in sports and needs a water bottle for daily use on campus, during commutes to university and home, and at the gym. Her previous bottles had issues: one plastic bottle deformed with hot water; another had a lid that didn’t seal properly, causing leaks/water drips that damaged notebooks. She is also very selective about the bottle material to ensure it is non-toxic. Currently, she doesn’t have a bottle, so she buys bottled water from supermarkets daily, which is inconvenient to carry while commuting. I want to get my friend a gift of a water bottle that would eliminate the issues she faced in the past. 

Prompt: Recommend three concrete options of water bottles that I could get for her within a £50 budget.","Giver persona: I am a 3rd-year undergraduate student living in the United Kingdom, studying engineering. I live off campus and share a flat with another student, who is also my friend, and I want to purchase a gift for her because she recently passed one of the hardest math exams.

Recipient persona: My friend is a 21-year-old full-time university student who is active in sports and needs a water bottle for daily use on campus, during commutes to university and home, and at the gym. Her previous bottles had issues: one plastic bottle deformed with hot water; another had a lid that didn’t seal properly, causing leaks/water drips that damaged notebooks. She is also very selective about the bottle material to ensure it is non-toxic. Currently, she doesn’t have a bottle, so she buys bottled water from supermarkets daily, which is inconvenient to carry while commuting. I want to get my friend a gift of a water bottle that would eliminate the issues she faced in the past. 

Prompt: Recommend three concrete options of water bottles that I could get for her within a £50 budget. Please explicitly state whether each of your product recommendations meets each of the product requirements that I want. Include the source or purchase links, and prices if applicable.",Gifting,Hurdle,Meets product/vendor feature,Grounded,Recommends only water bottles made from stainless steel or other nontoxic materials resistant to heat,Product
13058,610,"Giver persona: I am a 3rd-year undergraduate student living in the United Kingdom, studying engineering. I live off campus and share a flat with another student, who is also my friend, and I want to purchase a gift for her because she recently passed one of the hardest math exams.

Recipient persona: My friend is a 21-year-old full-time university student who is active in sports and needs a water bottle for daily use on campus, during commutes to university and home, and at the gym. Her previous bottles had issues: one plastic bottle deformed with hot water; another had a lid that didn’t seal properly, causing leaks/water drips that damaged notebooks. She is also very selective about the bottle material to ensure it is non-toxic. Currently, she doesn’t have a bottle, so she buys bottled water from supermarkets daily, which is inconvenient to carry while commuting. I want to get my friend a gift of a water bottle that would eliminate the issues she faced in the past. 

Prompt: Recommend three concrete options of water bottles that I could get for her within a £50 budget.","Giver persona: I am a 3rd-year undergraduate student living in the United Kingdom, studying engineering. I live off campus and share a flat with another student, who is also my friend, and I want to purchase a gift for her because she recently passed one of the hardest math exams.

Recipient persona: My friend is a 21-year-old full-time university student who is active in sports and needs a water bottle for daily use on campus, during commutes to university and home, and at the gym. Her previous bottles had issues: one plastic bottle deformed with hot water; another had a lid that didn’t seal properly, causing leaks/water drips that damaged notebooks. She is also very selective about the bottle material to ensure it is non-toxic. Currently, she doesn’t have a bottle, so she buys bottled water from supermarkets daily, which is inconvenient to carry while commuting. I want to get my friend a gift of a water bottle that would eliminate the issues she faced in the past. 

Prompt: Recommend three concrete options of water bottles that I could get for her within a £50 budget. Please explicitly state whether each of your product recommendations meets each of the product requirements that I want. Include the source or purchase links, and prices if applicable.",Gifting,Not,Provides link(s),Grounded,Provide a link to purchase each recommended water bottle,Product
13718,610,"Giver persona: I am a 3rd-year undergraduate student living in the United Kingdom, studying engineering. I live off campus and share a flat with another student, who is also my friend, and I want to purchase a gift for her because she recently passed one of the hardest math exams.

Recipient persona: My friend is a 21-year-old full-time university student who is active in sports and needs a water bottle for daily use on campus, during commutes to university and home, and at the gym. Her previous bottles had issues: one plastic bottle deformed with hot water; another had a lid that didn’t seal properly, causing leaks/water drips that damaged notebooks. She is also very selective about the bottle material to ensure it is non-toxic. Currently, she doesn’t have a bottle, so she buys bottled water from supermarkets daily, which is inconvenient to carry while commuting. I want to get my friend a gift of a water bottle that would eliminate the issues she faced in the past. 

Prompt: Recommend three concrete options of water bottles that I could get for her within a £50 budget.","Giver persona: I am a 3rd-year undergraduate student living in the United Kingdom, studying engineering. I live off campus and share a flat with another student, who is also my friend, and I want to purchase a gift for her because she recently passed one of the hardest math exams.

Recipient persona: My friend is a 21-year-old full-time university student who is active in sports and needs a water bottle for daily use on campus, during commutes to university and home, and at the gym. Her previous bottles had issues: one plastic bottle deformed with hot water; another had a lid that didn’t seal properly, causing leaks/water drips that damaged notebooks. She is also very selective about the bottle material to ensure it is non-toxic. Currently, she doesn’t have a bottle, so she buys bottled water from supermarkets daily, which is inconvenient to carry while commuting. I want to get my friend a gift of a water bottle that would eliminate the issues she faced in the past. 

Prompt: Recommend three concrete options of water bottles that I could get for her within a £50 budget. Please explicitly state whether each of your product recommendations meets each of the product requirements that I want. Include the source or purchase links, and prices if applicable.",Gifting,Not,Meets product/vendor feature,Grounded,"Recommends only water bottles with at least one portability feature (such as a strap, handle, clip, etc.)",Product
12483,676,"Persona: I am a 30-year-old guy from Halifax, Canada. I work as a concierge in a school so I don't have much money. My little brother just got married and I want to give him a gift. I know he loves playing video games. My little brother also lives in Halifax, Canada.

Prompt: My little brother is moving an hour away from me. We connect online by gaming together, but his Windows PC just broke down. I already told him that I want to get him one and he told me he will split the cost with me to help me out. Please recommend two laptop models with at least 512 GB of storage that will have the recommended specs to handle the PC game we play, Total War: WARHAMMER 2, without any lag. We have a budget of $800 (after tax) to buy a laptop so please find cheap options for us. ","Persona: I am a 30-year-old guy from Halifax, Canada. I work as a concierge in a school so I don't have much money. My little brother just got married and I want to give him a gift. I know he loves playing video games. My little brother also lives in Halifax, Canada.

Prompt: My little brother is moving an hour away from me. We connect online by gaming together, but his Windows PC just broke down. I already told him that I want to get him one and he told me he will split the cost with me to help me out. Please recommend two laptop models with at least 512 GB of storage that will have the recommended specs to handle the PC game we play, Total War: WARHAMMER 2, without any lag. We have a budget of $800 (after tax) to buy a laptop so please find cheap options for us.  Please explicitly state whether each of your product recommendations meets each of the product requirements that I want. Include the source or purchase links, and prices if applicable.",Gifting,Not,Meets quantity requirement,Not Grounded,Recommends two laptops,Product
12484,676,"Persona: I am a 30-year-old guy from Halifax, Canada. I work as a concierge in a school so I don't have much money. My little brother just got married and I want to give him a gift. I know he loves playing video games. My little brother also lives in Halifax, Canada.

Prompt: My little brother is moving an hour away from me. We connect online by gaming together, but his Windows PC just broke down. I already told him that I want to get him one and he told me he will split the cost with me to help me out. Please recommend two laptop models with at least 512 GB of storage that will have the recommended specs to handle the PC game we play, Total War: WARHAMMER 2, without any lag. We have a budget of $800 (after tax) to buy a laptop so please find cheap options for us. ","Persona: I am a 30-year-old guy from Halifax, Canada. I work as a concierge in a school so I don't have much money. My little brother just got married and I want to give him a gift. I know he loves playing video games. My little brother also lives in Halifax, Canada.

Prompt: My little brother is moving an hour away from me. We connect online by gaming together, but his Windows PC just broke down. I already told him that I want to get him one and he told me he will split the cost with me to help me out. Please recommend two laptop models with at least 512 GB of storage that will have the recommended specs to handle the PC game we play, Total War: WARHAMMER 2, without any lag. We have a budget of $800 (after tax) to buy a laptop so please find cheap options for us.  Please explicitly state whether each of your product recommendations meets each of the product requirements that I want. Include the source or purchase links, and prices if applicable.",Gifting,Hurdle,Meets pricing requirements/gives price,Grounded,Recommends only laptops that cost CAD $800 or less,Product
12485,676,"Persona: I am a 30-year-old guy from Halifax, Canada. I work as a concierge in a school so I don't have much money. My little brother just got married and I want to give him a gift. I know he loves playing video games. My little brother also lives in Halifax, Canada.

Prompt: My little brother is moving an hour away from me. We connect online by gaming together, but his Windows PC just broke down. I already told him that I want to get him one and he told me he will split the cost with me to help me out. Please recommend two laptop models with at least 512 GB of storage that will have the recommended specs to handle the PC game we play, Total War: WARHAMMER 2, without any lag. We have a budget of $800 (after tax) to buy a laptop so please find cheap options for us. ","Persona: I am a 30-year-old guy from Halifax, Canada. I work as a concierge in a school so I don't have much money. My little brother just got married and I want to give him a gift. I know he loves playing video games. My little brother also lives in Halifax, Canada.

Prompt: My little brother is moving an hour away from me. We connect online by gaming together, but his Windows PC just broke down. I already told him that I want to get him one and he told me he will split the cost with me to help me out. Please recommend two laptop models with at least 512 GB of storage that will have the recommended specs to handle the PC game we play, Total War: WARHAMMER 2, without any lag. We have a budget of $800 (after tax) to buy a laptop so please find cheap options for us.  Please explicitly state whether each of your product recommendations meets each of the product requirements that I want. Include the source or purchase links, and prices if applicable.",Gifting,Not,Meets product/vendor feature,Grounded,Recommends only laptops with a graphics card that has a G3D mark score higher or equal to 5954,Product
12486,676,"Persona: I am a 30-year-old guy from Halifax, Canada. I work as a concierge in a school so I don't have much money. My little brother just got married and I want to give him a gift. I know he loves playing video games. My little brother also lives in Halifax, Canada.

Prompt: My little brother is moving an hour away from me. We connect online by gaming together, but his Windows PC just broke down. I already told him that I want to get him one and he told me he will split the cost with me to help me out. Please recommend two laptop models with at least 512 GB of storage that will have the recommended specs to handle the PC game we play, Total War: WARHAMMER 2, without any lag. We have a budget of $800 (after tax) to buy a laptop so please find cheap options for us. ","Persona: I am a 30-year-old guy from Halifax, Canada. I work as a concierge in a school so I don't have much money. My little brother just got married and I want to give him a gift. I know he loves playing video games. My little brother also lives in Halifax, Canada.

Prompt: My little brother is moving an hour away from me. We connect online by gaming together, but his Windows PC just broke down. I already told him that I want to get him one and he told me he will split the cost with me to help me out. Please recommend two laptop models with at least 512 GB of storage that will have the recommended specs to handle the PC game we play, Total War: WARHAMMER 2, without any lag. We have a budget of $800 (after tax) to buy a laptop so please find cheap options for us.  Please explicitly state whether each of your product recommendations meets each of the product requirements that I want. Include the source or purchase links, and prices if applicable.",Gifting,Not,Meets product/vendor feature,Grounded,Recommends only laptops that have a CPU with a CPU mark score higher or equal to 5238,Product
12490,676,"Persona: I am a 30-year-old guy from Halifax, Canada. I work as a concierge in a school so I don't have much money. My little brother just got married and I want to give him a gift. I know he loves playing video games. My little brother also lives in Halifax, Canada.

Prompt: My little brother is moving an hour away from me. We connect online by gaming together, but his Windows PC just broke down. I already told him that I want to get him one and he told me he will split the cost with me to help me out. Please recommend two laptop models with at least 512 GB of storage that will have the recommended specs to handle the PC game we play, Total War: WARHAMMER 2, without any lag. We have a budget of $800 (after tax) to buy a laptop so please find cheap options for us. ","Persona: I am a 30-year-old guy from Halifax, Canada. I work as a concierge in a school so I don't have much money. My little brother just got married and I want to give him a gift. I know he loves playing video games. My little brother also lives in Halifax, Canada.

Prompt: My little brother is moving an hour away from me. We connect online by gaming together, but his Windows PC just broke down. I already told him that I want to get him one and he told me he will split the cost with me to help me out. Please recommend two laptop models with at least 512 GB of storage that will have the recommended specs to handle the PC game we play, Total War: WARHAMMER 2, without any lag. We have a budget of $800 (after tax) to buy a laptop so please find cheap options for us.  Please explicitly state whether each of your product recommendations meets each of the product requirements that I want. Include the source or purchase links, and prices if applicable.",Gifting,Not,Provides link(s),Grounded,Provides a link to purchase each recommended laptop,Product
